code,name
009,reset
012,pushups
016,goldenroosterindependent
024,yoga
010,laughing
random_short2,hug
027,sitdown
031,squat
021,bentover
013,kungfu
018,raiseyourrightleg
019,raiseleftleg
017,raiseyourhands
015,welcome
011,nodding
random_short3,wavinglefthand
random_short4,wavingrighthand
028,rightlunge
037,shakinghishead
038,tilthead
Surveillance_001,sayhello
Surveillance_003,handshake
Surveillance_004,blowkisses
Surveillance_006,sellingcute
007,sitandstand
action_014,invite
action_016,goodbye
action_012,seekinghug
action_004,wow
action_005,like
action_006,ok
action_018,heyha
action_020,dese
action_011,pretendtofly
action_013,makefaces
action_015,asstwist
action_007,killyou
action_019,holdyourhead
38,nothing
w_stand_0001,hiccup
w_stand_0002,fart
w_stand_0003,stretching
w_stand_0008,sneeze
w_stand_0009,tickle
w_stand_0010,scare
dance_0001en,songanddance
dance_0002en,shaolindance
dance_0003en,trainingdance
dance_0004en,littlestar
dance_0005en,grassdance
dance_0006en,seaweeddance
dance_0007en,takingabath
dance_0008en,chongerfei
dance_0009en,learnmeow
dance_0011en,duradance
dance_0013,buddhagirl
custom_0035,happybirthday
014,taichi
test_behavior001,YRSM_Mix
Drive_024,Drive_024
